Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,fear_and_greed_index
2018-02-01,10266.2,10303.0,8789.2,9181.1,257504,958674,403277,2603077300219,1.7614756901754E+19,1.226,10190875404,8.108,3.803,9,82912,1389,726833,18.196,9.672,16839687.5,19329173.7333,30.0
2018-02-02,9179.8,9201.4,7915.8,8893.2,235750,941242,394122,2603077300219,2.1809169999327E+19,0.952,10139478866,10.181,3.921,8.571,54128,1757,763496,18.273,11.562,16841225.0,20349765.9537948,15.0
2018-02-03,8894.4,9506.9,8249.3,9241.1,194733,916645,297108,2603077300219,2.1109405215282E+19,0.914,6421552427,6.859,3.709,9.114,42393,983.301,620918,18.314,6.929,16843762.5,18561807.1917,40.0
2018-02-04,9241.5,9382.1,7932.1,8222.2,173509,889806,268466,2603077300219,2.1016871980311E+19,0.981,5499166432,5.663,3.142,8.09,49344,968.684,595294,18.288,4.769,16845987.5,19061071.0683,24.0
2018-02-05,8220.8,8383.2,6651.9,6938.5,216178,899185,334825,2603077300219,2.4520821702638E+19,0.781,11558710245,6.193,2.559,7.784,65810,987.981,777110,18.367,6.995,16846750.0,19165215.2614707,11.0
2018-02-06,6939.3,7896.2,5996.6,7701.2,243950,961110,397735,2607870187293,2.3221901933159E+19,0.676,10063745538,4.614,2.191,8.471,53713,921.674,849088,18.421,7.18,16850425.0,17000620.9333,8.0
2018-02-07,7693.8,8536.5,7196.6,7594.7,213578,945530,326879,2874674234416,2.0576994820576E+19,0.727,7637070812,4.588,2.517,10.213,43026,931.117,694798,18.426,6.553,16852187.5,14762174.0625,36.0
2018-02-08,7595.1,8489.9,7595.1,8164.2,173158,944714,264306,2874674234416,2.1028915062819E+19,0.677,8069714475,4.195,2.377,10.992,55780,717.741,651284,18.292,5.103,16852262.5,14093910.2289136,30.0
2018-02-09,8163.6,8735.6,7784.6,8699.8,177725,957285,305351,2874674234416,1.8360937041376E+19,0.803,7623426850,4.127,2.405,10.667,53355,847.748,689413,18.521,4.979,16855512.5,14685356.425,44.0
2018-02-10,8697.3,9066.6,8172.2,8559.6,181640,947466,287700,2874674234416,1.9006917325142E+19,0.858,11338600258,4.248,2.288,10.07,73500,838.92,593126,18.502,4.736,16857300.0,15154655.1653,54.0
2018-02-11,8559.7,8564.2,7843.7,8081.9,147057,946795,248844,2874674234416,2.2788321686848E+19,0.704,9168379767,3.469,2.059,9.536,78200,543.462,730277,18.516,3.182,16857800.0,16243960.9275333,31.0
2018-02-12,8083.6,8984.9,8083.6,8903.5,186752,941726,294180,2874674234416,2.2272708761809E+19,0.834,11904575766,3.245,1.762,8.675,77583,751.385,781308,18.589,3.265,16861262.5,18398084.88,42.0
2018-02-13,8906.2,8942.7,8378.0,8539.2,182820,946217,282146,2874674234416,2.4091160235697E+19,0.761,8730307130,3.247,1.677,8.78,62204,826.634,729810,18.579,3.24,16863325.0,17728596.585,35.0
2018-02-14,8542.6,9500.0,8541.6,9476.3,196238,940502,305705,2874674234416,2.3823290493E+19,0.875,10183960236,2.942,1.382,8.045,71740,796.19,815887,18.566,2.773,16865550.0,20752674.9936762,55.0
2018-02-15,9475.6,10206.8,9348.5,10037.3,198052,945634,316003,2874674234416,2.1105648119953E+19,0.793,9504821410,3.183,1.693,10.992,70395,931.582,640344,18.591,3.768,16867187.5,16527155.601,71.0
2018-02-16,10031.3,10294.3,9707.7,10178.7,187581,896942,289858,2874674234416,2.1285807122812E+19,0.955,6895956106,3.124,1.217,9.172,59031,814.176,637546,18.532,2.885,16868837.5,19925190.5792,67.0
2018-02-17,10177.3,11095.9,10070.9,11073.5,173640,912798,273456,2874674234416,2.3259660594709E+19,0.88,11961568262,3.001,1.103,9.664,90816,776.008,680664,18.529,2.547,16871012.5,20350444.8424035,74.0
2018-02-18,11073.7,11271.6,10137.2,10398.8,159333,917076,259007,2874674234416,2.2024104059008E+19,1.012,14201984108,3.014,1.077,8.889,110670,741.691,631438,18.499,2.156,16873037.5,21269179.125,63.0
2018-02-19,10396.6,11250.5,10324.8,11169.4,187205,937515,295089,2874674234416,2.2950458188796E+19,0.986,15853557958,2.965,0.785,8.889,104096,764.86,688075,18.48,2.454,16874375.0,22566369.915,67.0
2018-02-20,11169.7,11791.5,11119.9,11238.7,198314,917160,308579,2967853337745,2.1116350680618E+19,0.993,11700671336,3.042,0.529,10.213,73752,980.863,610136,18.45,2.88,16876825.0,20908106.0649931,74.0
2018-02-21,11240.9,11289.7,10252.2,10473.0,205032,905555,303520,3007383866430,2.4813516968633E+19,0.942,11755372348,2.153,0.204,8.521,70054,1085,615201,18.428,1.891,16878937.5,22261055.1875,54.0
2018-02-22,10470.1,10930.2,9743.9,9841.7,183086,840932,328402,3007383866430,2.42913853439E+19,0.808,11686144951,2.121,0.205,9.664,84197,941.308,633718,18.432,1.981,16879900.0,18506552.0508,44.0
2018-02-23,9840.6,10419.1,9597.8,10170.4,185045,921250,301173,3007383866430,2.1955367791169E+19,0.88,7487735687,4.015,0.675,9.73,54750,864.775,643584,18.672,3.847,16882650.0,19432244.5627423,39.0
2018-02-24,10163.8,10506.1,9394.5,9704.3,154389,965935,248715,3007383866430,2.1027363617047E+19,0.905,6058727701,6.209,2.378,9.931,48090,845.477,627718,18.872,5.04,16884462.5,18033349.182,31.0
